bagian,run_id,seed,parameter,indeks,manual,autograd,numerik,rel_err,tahap,loss_akhir
gradient_check,gradcheck,51,W1,"(0, 0)",-0.3034327200849738,-0.3034327200849738,-0.30343272014593525,1.004530066507852e-10,,
gradient_check,gradcheck,51,W1,"(0, 1)",0.1517163600424869,0.1517163600424869,0.15171636005145706,2.956226324885021e-11,,
gradient_check,gradcheck,51,W1,"(1, 0)",0.1517163600424869,0.1517163600424869,0.15171636005145706,2.956226324885021e-11,,
gradient_check,gradcheck,51,W1,"(1, 1)",-0.07585818002124345,-0.07585818002124345,-0.07585818001254463,5.7336067386196285e-11,,
gradient_check,gradcheck,51,b1,"(0,)",-0.1517163600424869,-0.1517163600424869,-0.15171636005145706,2.956226324885021e-11,,
gradient_check,gradcheck,51,b1,"(1,)",0.07585818002124345,0.07585818002124345,0.07585818001254463,5.7336067386196285e-11,,
gradient_check,gradcheck,51,W2,"(0,)",-0.11378727003186517,-0.11378727003186517,-0.1137872700472664,6.76755051729176e-11,,
gradient_check,gradcheck,51,W2,"(1,)",-0.07585818002124345,-0.07585818002124345,-0.07585818001254463,5.7336067386196285e-11,,
gradient_check,gradcheck,51,b2,(),-0.07585818002124345,-0.07585818002124345,-0.07585818001254463,5.7336067386196285e-11,,
training_loop,,51,,,,,,,train_rusak,0.6931471805599454
training_loop,,51,,,,,,,train_benar,0.5228167415559066
